Year;Team;GP;GS;MPG;FG;3P;FT;RPG;APG;SPG;BPG;PPG
2003-04;Cleveland;79;79;39.5;0.417;0.290;0.754;5.5;5.9;1.6;0.7;20.9
2004-05;Cleveland;80;80;42.4;0.472;0.351;0.750;7.4;7.2;2.2;0.7;27.2
2005-06;Cleveland;79;79;42.5;0.480;0.335;0.738;7.0;6.6;1.6;0.8;31.4
2006-07;Cleveland;78;78;40.9;0.476;0.319;0.698;6.7;6.0;1.6;0.7;27.3
2007-08;Cleveland;75;74;40.4;0.484;0.315;0.712;7.9;7.2;1.8;1.1;30.0
2008-09;Cleveland;81;81;37.7;0.489;0.344;0.780;7.6;7.2;1.7;1.1;28.4
2009-10;Cleveland;76;76;39.0;0.503;0.333;0.767;7.3;8.6;1.6;1.0;29.7
2010-11;Miami;79;79;38.8;0.510;0.330;0.759;7.5;7.0;1.6;0.6;26.7
2011-12;Miami;62;62;37.5;0.531;0.362;0.771;7.9;6.2;1.9;0.8;27.1
2012-13;Miami;76;76;37.9;0.565;0.406;0.753;8.0;7.3;1.7;0.9;26.8
2013-14;Miami;77;77;37.7;0.567;0.379;0.750;6.9;6.4;1.6;0.3;27.1
2014-15;Cleveland;69;69;36.1;0.488;0.354;0.710;6.0;7.4;1.6;0.7;25.3
2015-16;Cleveland;76;76;35.6;0.520;0.309;0.731;7.4;6.8;1.4;0.6;25.3
2016-17;Cleveland;74;74;37.8;0.548;0.363;0.674;8.6;8.7;1.2;0.6;26.4
2017-18;Cleveland;82;82;36.9;0.542;0.367;0.731;8.6;9.1;1.4;0.9;27.5
2018-19;Lakers;55;55;35.2;0.510;0.339;0.665;8.5;8.3;1.3;0.6;27.4
2019-20;Lakers;67;67;34.6;0.493;0.348;0.693;7.8;10.2;1.2;0.5;25.3
2020-21;Lakers;45;45;33.4;0.513;0.365;0.698;7.7;7.8;1.1;0.6;25.0
2021-22;Lakers;56;56;37.2;0.524;0.359;0.756;8.2;6.2;1.3;1.1;30.3
